Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	44	6.223479490806223	4.005487960478753E-5	CXCL8, ADCY4, SLC2A1, PIK3CD, LAMC2, PLD1, PTGS2, ETS1, FOXO1, BBC3, GLI2, RASGRP3, FGF5, DLL4, TERT, HEY2, HES1, ITGAV, STAT6, IL6R, NKX3-1, STAT5A, IFNAR2, IL15RA, EDN1, JAG1, LAMB3, IFNGR2, TRAF1, FOS, MMP9, TGFBR1, NFKB1, NFKB2, NFKBIA, BMP2, IL6, COL4A1, IL3RA, RARB, PPARG, BIRC2, BIRC3, F2RL3	326	399	5610	1.8976890077955626	0.011667712871985758	5.280103806736008E-4	4.343020537281153E-4
KEGG_PATHWAY	hsa05161:Hepatitis B	22	3.1117397454031117	4.1447913841272414E-5	MAP2K3, STAT5A, MAP3K1, CXCL8, PIK3CD, NFATC1, FOS, TNF, MMP9, TGFBR1, NFKB1, IFIH1, NFKBIA, CREB3, IL6, IRF7, STAT6, IKBKE, TLR3, RIGI, MAP2K6, CREB5	326	139	5610	2.7236615615483073	0.012071043740030873	5.280103806736008E-4	4.343020537281153E-4
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	20	2.828854314002829	4.441884400350672E-5	MEF2C, EDN1, VCAM1, PRKAA2, SDC4, NOS3, PIK3CD, FOS, SELE, TNF, MMP9, NFKB1, ICAM1, IL1A, THBD, IL1B, CCL2, ITGAV, SQSTM1, MAP2K6	326	119	5610	2.892199824715162	0.012930681347875339	5.422800538761446E-4	4.4603922520187995E-4
KEGG_PATHWAY	hsa05167:Kaposi sarcoma-associated herpesvirus infection	23	3.253182461103253	7.971845836203336E-5	IFNAR2, CXCL8, CSF2, HLA-B, PIK3CD, NFATC1, CXCL1, HLA-A, FOS, CXCL3, PTGS2, HLA-F, CXCL2, PIK3CG, NFKB1, ICAM1, NFKBIA, IL6, IRF7, IKBKE, IRF9, TLR3, MAP2K6	326	156	5610	2.5371637564889093	0.02308774279652004	9.34300332003031E-4	7.684859386100016E-4
KEGG_PATHWAY	hsa05160:Hepatitis C	20	2.828854314002829	1.2293407010487394E-4	IFNAR2, RSAD2, MX2, MX1, PIK3CD, IFIT1, TNF, NFKB1, NFKBIA, CXCL10, CLDN5, OAS1, CLDN14, OAS2, OAS3, IRF7, IKBKE, IRF9, TLR3, RIGI	326	128	5610	2.6888420245398774	0.035380828768424744	0.001385372405412618	0.00113950426520287
KEGG_PATHWAY	hsa04514:Cell adhesion molecules	16	2.263083451202263	1.3341108009557769E-4	CNTNAP1, CD40, VCAM1, SDC4, HLA-B, NRXN3, HLA-A, HLA-F, SELE, VSIR, ICAM1, CLDN5, ALCAM, CLDN14, ITGAV, ICOSLG	326	88	5610	3.128834355828221	0.03833781995420338	0.0014477572765927503	0.0011908174186308971
KEGG_PATHWAY	hsa05143:African trypanosomiasis	8	1.1315417256011315	1.642557968931225E-4	IL6, VCAM1, IL1B, F2RL1, APOL1, SELE, TNF, ICAM1	326	22	5610	6.257668711656442	0.04699097138749775	0.0017188195889173176	0.0014137731089729475
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	7	0.9900990099009901	1.7609710480475047E-4	IL1A, IL6, IL1B, HLA-B, HLA-A, HLA-F, TNF	326	16	5610	7.528757668711657	0.050292270835895714	0.0017791879899238582	0.0014634276640670641
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	24	3.3946251768033946	1.9573032222250733E-4	CXCL8, HLA-B, TAP2, ADCY4, TAP1, PIK3CD, NFATC1, HLA-A, PTGS2, HLA-F, TNF, CX3CL1, NFKB1, TAPBP, NFKBIA, CREB3, IL6, IL1B, CCL5, CCL2, ITGAV, IL6R, MAP2K6, CREB5	326	177	5610	2.3333679941769785	0.05574082205472786	0.0019116328137064884	0.0015723669218541422
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	14	1.9801980198019802	2.3763356895108512E-4	STAT5A, IFNGR2, EBI3, NFATC1, FOS, TGFBR1, NFKB1, IL27RA, NFKBIA, IL6, IL1B, STAT6, NFKBIE, IL6R	326	73	5610	3.3002773342297673	0.06726571012521465	0.0022460205065376756	0.0018474093586197263
