symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
WT1	0.27757434599204145	0.4565887220758486	No data	No data	No data	No data	No data	No data	No data	No data
BRDT	0.27718489101352634	No data	No data	No data	No data	No data	No data	No data	No data	No data
BRD3	0.27718489101352634	No data	No data	No data	No data	No data	No data	No data	No data	No data
PPP2R3A	0.27675984931337433	0.44952003346754094	No data	No data	No data	No data	No data	No data	No data	No data
EHBP1	0.27589551026583287	0.4413645834344014	No data	No data	No data	No data	No data	No data	No data	No data
LOX	0.27565759952033564	0.4430291440904713	No data	No data	No data	No data	No data	No data	No data	No data
ADRB3	0.2750413750268521	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMEM116	0.2740980972249047	0.45087055681626004	No data	No data	No data	No data	No data	No data	No data	No data
MTMR11	0.27379388979751873	0.45037015869762365	No data	No data	No data	No data	No data	No data	No data	No data
NPR1	0.27314375633811977	No data	No data	No data	No data	No data	No data	No data	No data	No data
PCNX3	0.2728862795506124	0.448877208759124	No data	No data	No data	No data	No data	No data	No data	No data
SETD1B	0.272801295992047	0.4487374172583491	No data	No data	No data	No data	No data	No data	No data	No data
NFU1	0.27276980897677283	0.4486856235091298	No data	No data	No data	No data	No data	No data	No data	No data
SYT14	0.27231877023013507	0.4479436990196818	No data	No data	No data	No data	No data	No data	No data	No data
NEBL	0.271642013346863	0.4468304853349485	No data	No data	No data	No data	No data	No data	No data	No data
CCDC97	0.27070447101022926	0.444680368584072	No data	No data	No data	No data	No data	No data	No data	No data
FBN1	0.27001543869162953	0.424779364747202	No data	No data	No data	No data	No data	No data	No data	No data
CERT1	0.2698501244480765	0.44266710256490355	No data	No data	No data	No data	No data	No data	No data	No data
RAI1	0.26964080149791797	0.4379089513112742	No data	No data	No data	No data	No data	No data	No data	No data
ALOX5AP	0.2682652713126622	No data	No data	No data	No data	No data	No data	No data	No data	No data
MITF	0.26754976102470546	0.43615593430123595	No data	No data	No data	No data	No data	No data	No data	No data
TBL1X	0.26724043314938895	0.4389822893381291	No data	No data	No data	No data	No data	No data	No data	No data
WBP2	0.26713540566317606	0.4394174578959833	No data	No data	No data	No data	No data	No data	No data	No data
RAPGEF6	0.26704947168673665	0.4392761030299739	No data	No data	No data	No data	No data	No data	No data	No data
CNR1	0.26696054217334647	No data	No data	No data	No data	No data	No data	No data	No data	No data
IQCB1	0.26552119070231206	0.4367621968577109	No data	No data	No data	No data	No data	No data	No data	No data
NR3C2	0.26518852836668827	No data	No data	No data	No data	No data	No data	No data	No data	No data
CALCRL	0.2642003565139759	0.42692858364503233	No data	No data	No data	No data	No data	No data	No data	No data
AGBL1	0.26418972890112974	0.43457204329679044	No data	No data	No data	No data	No data	No data	No data	No data
PIK3CG	0.2637602665609364	0.4186036298184837	No data	No data	No data	No data	No data	No data	No data	No data
ZFPM2	0.2632540656945658	0.42997581637131277	No data	No data	No data	No data	No data	No data	No data	No data
HECTD4	0.2632184068606284	0.43297429229566115	No data	No data	No data	No data	No data	No data	No data	No data
CYP17A1	0.26270196306700905	0.41061067650744165	No data	No data	No data	No data	No data	No data	No data	No data
CUX2	0.2624601091465781	0.42944720964490224	No data	No data	No data	No data	No data	No data	No data	No data
MEX3B	0.26236944485029967	0.431577814252989	No data	No data	No data	No data	No data	No data	No data	No data
TMEM91	0.2623091418911334	0.43147862046415125	No data	No data	No data	No data	No data	No data	No data	No data
FARP1	0.26211287561563723	0.4311557773440671	No data	No data	No data	No data	No data	No data	No data	No data
LTBP3	0.2619146469635156	0.4293098792694144	No data	No data	No data	No data	No data	No data	No data	No data
LRBA	0.26184908808652496	0.43072186688888275	No data	No data	No data	No data	No data	No data	No data	No data
E2F1	0.26092337740739946	No data	No data	No data	No data	No data	No data	No data	No data	No data
MTAP	0.2608715229350247	0.42054261324172604	No data	No data	No data	No data	No data	No data	No data	No data
E2F3	0.2606410594628486	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHRNB2	0.26055379755271474	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITPK1	0.25977304224100334	0.4266989983159885	No data	No data	No data	No data	No data	No data	No data	No data
E2F2	0.25962984791600296	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMEM171	0.2593264993615305	0.4265723999842532	No data	No data	No data	No data	No data	No data	No data	No data
AMY2A	0.2592468194610506	No data	No data	No data	No data	No data	No data	No data	No data	No data
E2F6	0.25907547813397597	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGAM	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHRNA4	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
E2F7	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
E2F5	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
E2F8	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC12A1	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
E2F4	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC18A2	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data
FBXL17	0.2583127010756403	0.4201933151033222	No data	No data	No data	No data	No data	No data	No data	No data
C8orf48	0.2583005665335755	0.4248848183845291	No data	No data	No data	No data	No data	No data	No data	No data
SRFBP1	0.2580767308550742	0.42451662568993176	No data	No data	No data	No data	No data	No data	No data	No data
FGF1	0.25798053920218844	0.41854670479934164	No data	No data	No data	No data	No data	No data	No data	No data
SFRP1	0.25707696331147767	0.4215042397015399	No data	No data	No data	No data	No data	No data	No data	No data
IGF2BP2	0.2556804816260763	0.4076934326888303	No data	No data	No data	No data	No data	No data	No data	No data
CCND2	0.2544203428559252	0.4185021450722136	No data	No data	No data	No data	No data	No data	No data	No data
IPO9	0.2540588180404533	0.417907464202463	No data	No data	No data	No data	No data	No data	No data	No data
CNNM2	0.25371473159371655	0.415868080289254	No data	No data	No data	No data	No data	No data	No data	No data
FLT4	0.2536231215487662	0.4034363422614608	No data	No data	No data	No data	No data	No data	No data	No data
VCL	0.25353966927307325	0.39226781701231983	No data	No data	No data	No data	No data	No data	No data	No data
PLCL1	0.25324890300867686	0.41520737117992507	No data	No data	No data	No data	No data	No data	No data	No data
CDKAL1	0.25136810865944786	0.4127215380876037	No data	No data	No data	No data	No data	No data	No data	No data
CXCR4	0.25132647799788765	0.3916302563713411	No data	No data	No data	No data	No data	No data	No data	No data
ZNF664	0.25115227739522833	0.41145461585028253	No data	No data	No data	No data	No data	No data	No data	No data
NDE1	0.2509443265685005	0.41278436222409853	No data	No data	No data	No data	No data	No data	No data	No data
ZNF335	0.2508072409890401	0.41255886685521936	No data	No data	No data	No data	No data	No data	No data	No data
EIF2B2	0.2492451922904743	0.40618984787220874	No data	No data	No data	No data	No data	No data	No data	No data
GPATCH3	0.24879814980298384	0.4092540644106823	No data	No data	No data	No data	No data	No data	No data	No data
ZFPM1	0.2477965046180224	0.4066945379430291	No data	No data	No data	No data	No data	No data	No data	No data
NYAP2	0.24735605146980638	0.40688192215560487	No data	No data	No data	No data	No data	No data	No data	No data
FHL5	0.2470890057293426	0.402347562789575	No data	No data	No data	No data	No data	No data	No data	No data
PNLDC1	0.24697771587313835	0.4062595888272813	No data	No data	No data	No data	No data	No data	No data	No data
MARCHF1	0.24688849286184028	0.40611282374867597	No data	No data	No data	No data	No data	No data	No data	No data
ZNF239	0.24475104172669715	0.40259687893466006	No data	No data	No data	No data	No data	No data	No data	No data
NEDD4	0.2446859774216917	0.3990786858401954	No data	No data	No data	No data	No data	No data	No data	No data
LIPG	0.24461435809230067	0.35860079962524943	No data	No data	No data	No data	No data	No data	No data	No data
SUSD2	0.24264363110795878	0.3921391443165268	No data	No data	No data	No data	No data	No data	No data	No data
PTK7	0.24194218338910015	0.397976520254639	No data	No data	No data	No data	No data	No data	No data	No data
NDUFAF6	0.24189253054099263	0.3978948450897969	No data	No data	No data	No data	No data	No data	No data	No data
UNC13D	0.24150462133830905	0.39725676390653136	No data	No data	No data	No data	No data	No data	No data	No data
TRIM47	0.24106583486955846	0.39653499348385424	No data	No data	No data	No data	No data	No data	No data	No data
CRIPTO3	0.24080607298673942	0.3961077049111424	No data	No data	No data	No data	No data	No data	No data	No data
MTHFD1L	0.24002389082950337	0.38958468478722486	No data	No data	No data	No data	No data	No data	No data	No data
KLHL35	0.2377345655426921	0.3910553083947718	No data	No data	No data	No data	No data	No data	No data	No data
NFIB	0.23718660643596282	0.38863413027840776	No data	No data	No data	No data	No data	No data	No data	No data
SNX13	0.2369534933719825	0.38977050398318713	No data	No data	No data	No data	No data	No data	No data	No data
MAP3K7CL	0.23669607079074795	0.3847875824018642	No data	No data	No data	No data	No data	No data	No data	No data
KLF14	0.23646868602100302	0.3672616286153828	No data	No data	No data	No data	No data	No data	No data	No data
CDC25A	0.23596839998093205	0.3881501001561059	No data	No data	No data	No data	No data	No data	No data	No data
FBRSL1	0.23444997341426155	0.3856524037527719	No data	No data	No data	No data	No data	No data	No data	No data
AS3MT	0.23422958874223265	0.3843779915053587	No data	No data	No data	No data	No data	No data	No data	No data
ZNF846	0.2341879570495922	0.3852214067286061	No data	No data	No data	No data	No data	No data	No data	No data
SPC24	0.2335252628553984	0.384131325099583	No data	No data	No data	No data	No data	No data	No data	No data
GJA10	0.23337868350048105	0.383890213190969	No data	No data	No data	No data	No data	No data	No data	No data
BRAP	0.23296453013893623	0.37870774658134065	No data	No data	No data	No data	No data	No data	No data	No data
BNC2	0.23271411337276698	0.3827970457937505	No data	No data	No data	No data	No data	No data	No data	No data
MERTK	0.23236850808872905	0.3676582232571318	No data	No data	No data	No data	No data	No data	No data	No data
SHOC1	0.2313240964872913	0.3805105735654366	No data	No data	No data	No data	No data	No data	No data	No data
APOC1	0.23034404047608723	0.3555132538190599	No data	No data	No data	No data	No data	No data	No data	No data
TSC22D2	0.2299189603074851	0.37819923124600396	No data	No data	No data	No data	No data	No data	No data	No data
CPEB3	0.22988990734144354	0.3781514413229474	No data	No data	No data	No data	No data	No data	No data	No data
COPRS	0.22894365018597634	0.37659492015444473	No data	No data	No data	No data	No data	No data	No data	No data
MSR1	0.22880155295431565	0.37123072400911356	No data	No data	No data	No data	No data	No data	No data	No data
ARID4A	0.22789671952798468	0.37487279871874063	No data	No data	No data	No data	No data	No data	No data	No data
KCNJ13	0.22778975796992842	0.37269574953552276	No data	No data	No data	No data	No data	No data	No data	No data
CD109	0.22597267723094522	0.37170789523861025	No data	No data	No data	No data	No data	No data	No data	No data
SMARCA4	0.22555703402311736	0.3486535045771075	No data	No data	No data	No data	No data	No data	No data	No data
IGF2BP1	0.2247149639666267	0.36842319082565234	No data	No data	No data	No data	No data	No data	No data	No data
MST1	0.22465058401163565	0.36381902496010077	No data	No data	No data	No data	No data	No data	No data	No data
ASTN2	0.22415953452964796	0.3687254131725255	No data	No data	No data	No data	No data	No data	No data	No data
IRF1	0.22374703840879723	0.3631866647208205	No data	No data	No data	No data	No data	No data	No data	No data
DMP1	0.22366153830134938	0.3679062471913726	No data	No data	No data	No data	No data	No data	No data	No data
ABHD2	0.2234892293383803	0.36762281203124253	No data	No data	No data	No data	No data	No data	No data	No data
CAMK2G	0.22329907788912423	0.3450503558499504	No data	No data	No data	No data	No data	No data	No data	No data
ASXL1	0.22302658901912342	No data	0.36300344151642633	No data	No data	No data	No data	No data	No data	No data
SETD9	0.22292468924707698	0.36669418644832874	No data	No data	No data	No data	No data	No data	No data	No data
UFL1	0.2220878622325753	0.36425379065652397	No data	No data	No data	No data	No data	No data	No data	No data
SOX6	0.22078618079401593	0.3622646062302059	No data	No data	No data	No data	No data	No data	No data	No data
PITX2	0.22077390085404786	0.3615826064403457	No data	No data	No data	No data	No data	No data	No data	No data
GADD45G	0.2207545737104044	0.3540899840429335	No data	No data	No data	No data	No data	No data	No data	No data
NFS1	0.2206717136777064	0.3629882127121373	No data	No data	No data	No data	No data	No data	No data	No data
CCT6A	0.21964326248960328	0.3612964886011964	No data	No data	No data	No data	No data	No data	No data	No data
CHRNB4	0.21812758453340542	0.3588033134533794	No data	No data	No data	No data	No data	No data	No data	No data
PDLIM5	0.21744257329600344	0.3501533783624373	No data	No data	No data	No data	No data	No data	No data	No data
ABCA8	0.21720419479846897	0.35728440745525564	No data	No data	No data	No data	No data	No data	No data	No data
TRPA1	0.21591862963784608	0.35127671353777573	No data	No data	No data	No data	No data	No data	No data	No data
NRIP1	0.21572418124386264	0.3540899840429335	No data	No data	No data	No data	No data	No data	No data	No data
FAM76B	0.21526220642550675	0.3540899840429335	No data	No data	No data	No data	No data	No data	No data	No data
ARL4C	0.21526220642550675	0.3540899840429335	No data	No data	No data	No data	No data	No data	No data	No data
BCL11A	0.21526220642550675	0.3540899840429335	No data	No data	No data	No data	No data	No data	No data	No data
RAB12	0.21457255337082273	0.3529555571354739	No data	No data	No data	No data	No data	No data	No data	No data
H3-3B	0.21438551694809743	0.3526478964223465	No data	No data	No data	No data	No data	No data	No data	No data
TMEM258	0.2143431045282802	0.3519702004146421	No data	No data	No data	No data	No data	No data	No data	No data
SAYSD1	0.21347025198611033	0.3511423550587852	No data	No data	No data	No data	No data	No data	No data	No data
CORO1C	0.21191021657938022	0.34857621527304145	No data	No data	No data	No data	No data	No data	No data	No data
NPEPPS	0.21103555488224157	0.3324544924914366	No data	No data	No data	No data	No data	No data	No data	No data
RSBN1	0.21050722031841637	0.34626839295761375	No data	No data	No data	No data	No data	No data	No data	No data
ZFP36L1	0.21022701796035334	0.34580748135523426	No data	No data	No data	No data	No data	No data	No data	No data
EFCAB13	0.21016509305580072	0.3457056195893953	No data	No data	No data	No data	No data	No data	No data	No data
DNAH10	0.2096803326707534	0.34490822556535206	No data	No data	No data	No data	No data	No data	No data	No data
HGH1	0.2094805032643595	0.34457952136550074	No data	No data	No data	No data	No data	No data	No data	No data
WNT2	0.20899149203772285	0.3437751350298227	No data	No data	No data	No data	No data	No data	No data	No data
ANKRD6	0.2077795592719277	0.3417815976559037	No data	No data	No data	No data	No data	No data	No data	No data
ZNF280D	0.20734198616927793	0.3410618231283278	No data	No data	No data	No data	No data	No data	No data	No data
IRAG1	0.20689505137561642	0.3321195835621429	No data	No data	No data	No data	No data	No data	No data	No data
SH3PXD2A	0.20674641226051435	0.3400821492721859	No data	No data	No data	No data	No data	No data	No data	No data
SIK2	0.20640918645432152	0.32695846918697985	No data	No data	No data	No data	No data	No data	No data	No data
KLF2	0.20579638821537294	0.33119648839428334	No data	No data	No data	No data	No data	No data	No data	No data
MAD1L1	0.20543911791957675	0.33793174934825776	No data	No data	No data	No data	No data	No data	No data	No data
CFAP161	0.2048889489994154	0.3370267632506249	No data	No data	No data	No data	No data	No data	No data	No data
HYOU1	0.20399723345315282	0.33017301654224734	No data	No data	No data	No data	No data	No data	No data	No data
SENP1	0.20399458484505262	0.334795688631528	No data	No data	No data	No data	No data	No data	No data	No data
ANLN	0.20382549401350075	0.335277460550231	No data	No data	No data	No data	No data	No data	No data	No data
PRKAA2	0.2031124077603321	0.31088664728537524	No data	No data	No data	No data	No data	No data	No data	No data
IL1R1	0.203074533831188	0.30153800009331855	No data	No data	No data	No data	No data	No data	No data	No data
PPP1R3B	0.20280686458042368	0.3160076997189673	No data	No data	No data	No data	No data	No data	No data	No data
R3HCC1L	0.20261281755503785	0.33328269985834447	No data	No data	No data	No data	No data	No data	No data	No data
FABP2	0.2025042472032741	0.2969900217860136	No data	No data	No data	No data	No data	No data	No data	No data
CFDP1	0.2016805410129476	0.32026282992538196	No data	No data	No data	No data	No data	No data	No data	No data
ADAMTSL4	0.2016618569906696	0.32852680525188294	No data	No data	No data	No data	No data	No data	No data	No data
SLC18A1	0.20107155179075628	0.3307474347091914	No data	No data	No data	No data	No data	No data	No data	No data
PLRG1	0.2009631007708453	0.32904921402243115	No data	No data	No data	No data	No data	No data	No data	No data
BCAR1	0.2005584301572908	0.3180796097973316	No data	No data	No data	No data	No data	No data	No data	No data
TLCD5	0.2001525031903938	0.329235669547806	No data	No data	No data	No data	No data	No data	No data	No data
CBX4	0.199349811120551	0.3279153020438132	No data	No data	No data	No data	No data	No data	No data	No data
IL1F10	0.19851338093652196	0.3208181813756094	No data	No data	No data	No data	No data	No data	No data	No data
DYNC2H1	0.19801395471045302	0.32571791968492275	No data	No data	No data	No data	No data	No data	No data	No data
ANKS1A	0.19775849064012022	0.32271399479755514	No data	No data	No data	No data	No data	No data	No data	No data
GGT7	0.19746186707533214	0.3242018466492639	No data	No data	No data	No data	No data	No data	No data	No data
FOXF2	0.19549195952535944	0.32156942910836084	No data	No data	No data	No data	No data	No data	No data	No data
RGS19	0.19478953921377984	0.3204140010327654	No data	No data	No data	No data	No data	No data	No data	No data
F3	0.19398530084402474	0.31208647013394936	No data	No data	No data	No data	No data	No data	No data	No data
SLN	0.19377082150666358	0.3160025991697022	No data	No data	No data	No data	No data	No data	No data	No data
TRIM69	0.19341867107060537	0.3181590270315136	No data	No data	No data	No data	No data	No data	No data	No data
HS3ST1	0.19218152443604494	No data	No data	0.31612401475804297	No data	No data	No data	No data	No data	No data
PSMG1	0.19122685174090495	0.3088003040804664	No data	No data	No data	No data	No data	No data	No data	No data
MLN	0.1910339670777608	0.3136284392436436	No data	No data	No data	No data	No data	No data	No data	No data
NKPD1	0.18999966059396345	0.31253501441350806	No data	No data	No data	No data	No data	No data	No data	No data
SPPL3	0.18929510074438582	0.3113760669603676	No data	No data	No data	No data	No data	No data	No data	No data
BOLL	0.1885012278166804	0.310070206275526	No data	No data	No data	No data	No data	No data	No data	No data
STAT6	0.18818815383765225	0.3075509092869107	No data	No data	No data	No data	No data	No data	No data	No data
CYP4F2	0.18799345305410078	0.2955857349772507	No data	No data	No data	No data	No data	No data	No data	No data
PNPLA2	0.18732215674301775	0.29698533201944005	No data	No data	No data	No data	No data	No data	No data	No data
CHD9	0.18700980767888886	0.307616933397016	No data	No data	No data	No data	No data	No data	No data	No data
ACTRT2	0.18695525136058885	0.307527192396043	No data	No data	No data	No data	No data	No data	No data	No data
POC1B	0.18689537943661072	0.30742870762735985	No data	No data	No data	No data	No data	No data	No data	No data
MVK	0.18657954100056182	0.29756410668991823	No data	No data	No data	No data	No data	No data	No data	No data
TMEM18	0.18588989295632571	0.3025831220295372	No data	No data	No data	No data	No data	No data	No data	No data
ACSS2	0.18582172031380714	0.30566261989661536	No data	No data	No data	No data	No data	No data	No data	No data
FAM30A	0.1847899273423509	No data	No data	No data	No data	No data	No data	No data	No data	No data
STX2	0.1843230457800461	0.3031974140875843	No data	No data	No data	No data	No data	No data	No data	No data
MMP13	0.18419031497203436	0.2954260536052202	No data	No data	No data	No data	No data	No data	No data	No data
CELF3	0.18337701956121666	0.30164127279231506	No data	No data	No data	No data	No data	No data	No data	No data
HNRNPUL1	0.18326678998426923	0.300244091913087	No data	No data	No data	No data	No data	No data	No data	No data
RPRML	0.18279366233852445	0.30068169445710974	No data	No data	No data	No data	No data	No data	No data	No data
CELSR1	0.18233755968437637	No data	No data	No data	No data	No data	No data	No data	No data	No data
DOT1L	0.18210468920817616	0.29769926313081824	No data	No data	No data	No data	No data	No data	No data	No data
CD79A	0.182073587089955	No data	No data	No data	No data	No data	No data	No data	No data	No data
SUSD1	0.18201212321109475	0.29939612193717796	No data	No data	No data	No data	No data	No data	No data	No data
NCOA6	0.18153935429025417	0.29861845296120576	No data	No data	No data	No data	No data	No data	No data	No data
RHOA	0.18136301815265224	0.28645689356527787	No data	No data	No data	No data	No data	No data	No data	No data
BSND	0.18129265127362804	0.29821264523178104	No data	No data	No data	No data	No data	No data	No data	No data
ELL	0.18116144680857477	0.2979968238495304	No data	No data	No data	No data	No data	No data	No data	No data
KCNE2	0.1809489280807497	0.2924139480637355	No data	No data	No data	No data	No data	No data	No data	No data
UBE3B	0.18094180336048782	0.2976355270556357	No data	No data	No data	No data	No data	No data	No data	No data
SKIDA1	0.180819419918229	0.2974342155860743	No data	No data	No data	No data	No data	No data	No data	No data
ARVCF	0.18079864708218474	0.2967921150505157	No data	No data	No data	No data	No data	No data	No data	No data
CNTN2	0.18077367723574453	0.2973589723467711	No data	No data	No data	No data	No data	No data	No data	No data
STOML1	0.17952650680049484	0.2953074716823049	No data	No data	No data	No data	No data	No data	No data	No data
EPOR	0.17910799666469404	0.2542690360801345	No data	No data	No data	No data	No data	No data	No data	No data
FBXO33	0.1786831094594701	0.2939201470980954	No data	No data	No data	No data	No data	No data	No data	No data
COG5	0.17845055475892616	0.2935376122743003	No data	No data	No data	No data	No data	No data	No data	No data
PKIG	0.17806357398708933	No data	No data	No data	No data	No data	No data	No data	No data	No data
ARL4D	0.17761003018914762	0.2921550131806523	No data	No data	No data	No data	No data	No data	No data	No data
CEP120	0.17739053655596287	0.29179396282089576	No data	No data	No data	No data	No data	No data	No data	No data
KMO	0.17725049830678297	No data	No data	No data	No data	No data	No data	No data	No data	No data
TCEA2	0.17707527457163755	0.29127538079550097	No data	No data	No data	No data	No data	No data	No data	No data
NAV1	0.1769733085772858	0.29049972367977495	No data	No data	No data	No data	No data	No data	No data	No data
APOC4	0.17607147682690666	0.2585202748154264	No data	No data	No data	No data	No data	No data	No data	No data
TSPAN13	0.17586457385171533	No data	No data	No data	No data	No data	No data	No data	No data	No data
NEK9	0.1755865065075212	0.2853393117738398	No data	No data	No data	No data	No data	No data	No data	No data
OPHN1	0.17555025833456786	0.28694305249189955	No data	No data	No data	No data	No data	No data	No data	No data
PRKAG3	0.1750985995494045	0.2880239004789932	No data	No data	No data	No data	No data	No data	No data	No data
JMJD1C	0.17494961231243183	0.2868669315908188	No data	No data	No data	No data	No data	No data	No data	No data
POLM	0.17465330177184837	0.2872914194477548	No data	No data	No data	No data	No data	No data	No data	No data
SHANK3	0.17437329882707922	0.28683083586510166	No data	No data	No data	No data	No data	No data	No data	No data
BASP1	0.17406031175210873	0.2823644457083791	No data	No data	No data	No data	No data	No data	No data	No data
PLA2G10	0.17336654757710865	No data	No data	No data	No data	No data	No data	No data	No data	No data
ILRUN	0.17287279000396244	0.2632810081203537	No data	No data	No data	No data	No data	No data	No data	No data
TMEM184C	0.17253418361326026	0.28380563098809214	No data	No data	No data	No data	No data	No data	No data	No data
COBLL1	0.17241002882112086	No data	No data	No data	No data	No data	No data	No data	No data	No data
PPP2R2A	0.17210402801256902	0.28309805768800406	No data	No data	No data	No data	No data	No data	No data	No data
LINGO4	0.17191576041305356	0.2827883717825439	No data	No data	No data	No data	No data	No data	No data	No data
TXNL4B	0.1717507709691308	0.2825169766754512	No data	No data	No data	No data	No data	No data	No data	No data
ZHX3	0.1716325174121799	0.28080263155959734	No data	No data	No data	No data	No data	No data	No data	No data
BANK1	0.17144809458823312	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLA2G2A	0.17109324027134964	No data	No data	No data	No data	No data	No data	No data	No data	No data
CAD	0.17084814014810915	No data	No data	0.27694625224529407	No data	No data	No data	No data	No data	No data
MRPL38	0.17011050337140368	0.2798188610277965	No data	No data	No data	No data	No data	No data	No data	No data
BCL3	0.170038101060205	0.27133649451479686	No data	No data	No data	No data	No data	No data	No data	No data
STAG3	0.16984042222035473	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD79B	0.16965563229301234	No data	No data	No data	No data	No data	No data	No data	No data	No data
CDH17	0.1694206840748762	0.2739853622085878	No data	No data	No data	No data	No data	No data	No data	No data
ACAA2	0.16912156588103522	0.27758420315161986	No data	No data	No data	No data	No data	No data	No data	No data
TARS2	0.16882831634106113	0.27770976072332126	No data	No data	No data	No data	No data	No data	No data	No data
ACOX1	0.16876026882730538	0.2775978277302518	No data	No data	No data	No data	No data	No data	No data	No data
PLA2G5	0.1686747057620367	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD19	0.1666942679035946	No data	No data	No data	No data	No data	No data	No data	No data	No data
DMPK	0.16658227080860033	0.27188742857998655	No data	No data	No data	No data	No data	No data	No data	No data
KLHL14	0.1655717748987464	No data	No data	No data	No data	No data	No data	No data	No data	No data
MCL1	0.16544919296878238	0.26569863502931196	No data	No data	No data	No data	No data	No data	No data	No data
ELL3	0.16542394295687252	No data	No data	No data	No data	No data	No data	No data	No data	No data
KBTBD13	0.16429046491412358	0.27024533969914316	No data	No data	No data	No data	No data	No data	No data	No data
SIRT3	0.16335630910956897	0.25038013210177845	No data	No data	No data	No data	No data	No data	No data	No data
MS4A1	0.16271528171140678	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLDN5	0.1622138909432563	0.26245682206628157	No data	No data	No data	No data	No data	No data	No data	No data
CD72	0.162005329301039	No data	No data	No data	No data	No data	No data	No data	No data	No data
GIGYF2	0.1612225526725097	0.26519885701778073	No data	No data	No data	No data	No data	No data	No data	No data
FCRL2	0.1607857157805795	No data	No data	No data	No data	No data	No data	No data	No data	No data
C18orf21	0.1605672124988343	0.2641208721940968	No data	No data	No data	No data	No data	No data	No data	No data
SPIB	0.16049005189683174	No data	No data	No data	No data	No data	No data	No data	No data	No data
SOX17	0.16048370890996214	0.2639835151310886	No data	No data	No data	No data	No data	No data	No data	No data
KCNH8	0.16045309391136328	No data	No data	No data	No data	No data	No data	No data	No data	No data
MICAL3	0.16028678297675514	No data	No data	No data	No data	No data	No data	No data	No data	No data
MYL3	0.16025209626410536	0.2629945991181092	No data	No data	No data	No data	No data	No data	No data	No data
MAGED4	0.160194388013084	No data	No data	No data	No data	No data	No data	No data	No data	No data
TAF6	0.1597896740631468	0.26284188050829604	No data	No data	No data	No data	No data	No data	No data	No data
PTPRK	0.15938131233277766	No data	No data	No data	No data	No data	No data	No data	No data	No data
BLNK	0.1587899845652821	No data	No data	No data	No data	No data	No data	No data	No data	No data
CSF2	0.15864140018213277	0.24461361307974955	No data	No data	No data	No data	No data	No data	No data	No data
FCRLA	0.15773668197943072	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF13C	0.15734862313201178	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLEC18A	0.15700759549697135	0.2582655725187923	No data	No data	No data	No data	No data	No data	No data	No data
HLA-DOA	0.1563507575243631	No data	No data	No data	No data	No data	No data	No data	No data	No data
VPREB3	0.15622140457522346	No data	No data	No data	No data	No data	No data	No data	No data	No data
CPNE1	0.1561310212754712	0.2568236744854241	No data	No data	No data	No data	No data	No data	No data	No data
DCHS2	0.15591728690530138	0.2564720976760084	No data	No data	No data	No data	No data	No data	No data	No data
FCRL1	0.1557779087496018	No data	No data	No data	No data	No data	No data	No data	No data	No data
POU2AF1	0.15574095076413333	No data	No data	No data	No data	No data	No data	No data	No data	No data
PAIP2B	0.15515038360982905	0.2552105999883024	No data	No data	No data	No data	No data	No data	No data	No data
KLF8	0.15502027004749816	No data	No data	No data	No data	No data	No data	No data	No data	No data
KCNG1	0.1547800431419531	No data	No data	No data	No data	No data	No data	No data	No data	No data
EBF1	0.15457564495009835	No data	No data	No data	No data	No data	No data	No data	No data	No data
TWIST1	0.15446824863260472	0.2252878182105425	No data	No data	No data	No data	No data	No data	No data	No data
CD200	0.15421643386355896	No data	No data	No data	No data	No data	No data	No data	No data	No data
DIP2B	0.15412420907639318	0.2521547765067895	No data	No data	No data	No data	No data	No data	No data	No data
RASGRP3	0.1535049926432909	No data	No data	No data	No data	No data	No data	No data	No data	No data
ICA1L	0.15318084305865054	0.2507549937397136	No data	No data	No data	No data	No data	No data	No data	No data
LAMA5	0.15313541278860618	No data	No data	No data	No data	No data	No data	No data	No data	No data
LAMB2	0.15294330511002324	0.24497731950571194	No data	No data	No data	No data	No data	No data	No data	No data
MARK3	0.1526277053598127	0.2510609858218098	No data	No data	No data	No data	No data	No data	No data	No data
BTLA	0.1519342782608809	No data	No data	No data	No data	No data	No data	No data	No data	No data
